cities,zip_codes,regions,code_insee,appartement-loyer-m2,appartement12-loyer-m2,appartement3-loyer-m2,maison-loyer-m2
Dormans,51700.0,Grand Est,51012,8.85475907336912,10.817291698197,7.4580921810376,8.02360243402776
Val-de-Vière,51340.0,Grand Est,51060,7.48884508400894,8.81536976324281,6.65283779592374,6.80709083195653
Drosnay,51290.0,Grand Est,51008,7.18293185547549,8.81536976324281,6.80816781420186,6.30882100478431
Drouilly,51300.0,Grand Est,51039,8.89447927962285,9.66793923238746,6.90883777015173,6.80709083195653
Éclaires,51800.0,Grand Est,51015,6.96156085062336,9.23467026147072,6.26205931685786,5.53242643251973
Écollemont,51290.0,Grand Est,51008,7.18293185547549,8.81536976324281,6.80816781420186,6.30882100478431
Écriennes,51300.0,Grand Est,51039,8.89447927962285,9.66793923238746,6.90883777015173,6.80709083195653
Écueil,51500.0,Grand Est,51112,11.1342980951641,14.5208538505845,8.35445493756338,10.3228800869345
Écury-le-Repos,51230.0,Grand Est,51010,8.69534393191396,10.2948464962792,7.24158026089527,7.18878902199597
Écury-sur-Coole,51240.0,Grand Est,51001,7.92659336339227,9.35537423038193,6.90883777015173,7.06477583847091
Élise-Daucourt,51800.0,Grand Est,51015,6.96156085062336,9.23467026147072,6.26205931685786,5.53242643251973
Épense,51330.0,Grand Est,51047,7.3192469211362,9.23467026147072,6.07886327460702,6.80709083195653
Épernay,51200.0,Grand Est,51230,9.89802423076994,11.7348795390888,9.33817216818138,9.29573287748066
L'Épine,51460.0,Grand Est,51193,9.24020465425484,9.35537423038193,6.99391843007736,7.94483983739533
Époye,51490.0,Grand Est,51046,7.80179135350471,11.3661594562709,8.35445493756338,8.17455053670679
Escardes,51310.0,Grand Est,51071,10.7580993768278,13.3758570583311,8.09729561793141,7.18878902199597
Esclavolles-Lurey,51260.0,Grand Est,51004,8.14995185833774,8.95681354635853,8.09729561793141,7.79971657452783
Les Essarts-lès-Sézanne,51120.0,Grand Est,51005,7.92659336339227,10.2948464962792,6.81085162371939,7.18878902199597
Les Essarts-le-Vicomte,51310.0,Grand Est,51071,10.7580993768278,13.3758570583311,8.09729561793141,7.18878902199597
Esternay,51310.0,Grand Est,51071,10.7580993768278,13.3758570583311,8.09729561793141,7.18878902199597
Étoges,51270.0,Grand Est,51033,8.85475907336912,9.85398427865536,6.81085162371939,7.25460184655148
Étréchy,51130.0,Grand Est,51049,9.10806275993779,10.2184617981616,7.24158026089527,7.98905048816851
Étrepy,51340.0,Grand Est,51060,7.48884508400894,8.81536976324281,6.65283779592374,6.80709083195653
Euvy,51230.0,Grand Est,51010,8.69534393191396,10.2948464962792,7.24158026089527,7.18878902199597
Fagnières,51510.0,Grand Est,51146,9.24020465425484,10.2184617981616,9.00068077761109,8.81381096201449
Faux-Fresnay,51230.0,Grand Est,51010,8.69534393191396,10.2948464962792,7.24158026089527,7.18878902199597
Faux-Vésigneul,51320.0,Grand Est,51084,7.21843229135397,8.58988308334711,6.90883777015173,6.17055004482242
Faverolles-et-Coëmy,51170.0,Grand Est,51013,9.39573284032175,11.4732729111633,8.58735108075574,8.02360243402776
Favresse,51300.0,Grand Est,51039,8.89447927962285,9.66793923238746,6.90883777015173,6.80709083195653
Fèrebrianges,51270.0,Grand Est,51033,8.85475907336912,9.85398427865536,6.81085162371939,7.25460184655148
Fère-Champenoise,51230.0,Grand Est,51010,8.69534393191396,10.2948464962792,7.24158026089527,7.18878902199597
Festigny,51700.0,Grand Est,51012,8.85475907336912,10.817291698197,7.4580921810376,8.02360243402776
Fismes,51170.0,Grand Est,51013,9.39573284032175,11.4732729111633,8.58735108075574,8.02360243402776
Flavigny,51190.0,Grand Est,51029,8.92851394687571,10.5094325642697,7.24158026089527,8.17455053670679
Fleury-la-Rivière,51480.0,Grand Est,51048,8.85475907336912,12.5379046885608,7.97297048962313,7.92601953898569
Florent-en-Argonne,51800.0,Grand Est,51015,6.96156085062336,9.23467026147072,6.26205931685786,5.53242643251973
Fontaine-Denis-Nuisy,51120.0,Grand Est,51005,7.92659336339227,10.2948464962792,6.81085162371939,7.18878902199597
Fontaine-en-Dormois,51800.0,Grand Est,51015,6.96156085062336,9.23467026147072,6.26205931685786,5.53242643251973
Fontaine-sur-Ay,51160.0,Grand Est,51028,9.10806275993779,10.2184617981616,9.00068077761109,8.17455053670679
La Forestière,51120.0,Grand Est,51005,7.92659336339227,10.2948464962792,6.81085162371939,7.18878902199597
Francheville,51240.0,Grand Est,51001,7.92659336339227,9.35537423038193,6.90883777015173,7.06477583847091
Le Fresne,51240.0,Grand Est,51001,7.92659336339227,9.35537423038193,6.90883777015173,7.06477583847091
Frignicourt,51300.0,Grand Est,51039,8.89447927962285,9.66793923238746,6.90883777015173,6.80709083195653
Fromentières,51210.0,Grand Est,51050,10.5103594275762,9.85398427865536,6.81085162371939,8.19430659778241
Le Gault-Soigny,51210.0,Grand Est,51050,10.5103594275762,9.85398427865536,6.81085162371939,8.19430659778241
Gaye,51120.0,Grand Est,51005,7.92659336339227,10.2948464962792,6.81085162371939,7.18878902199597
Germaine,51160.0,Grand Est,51028,9.10806275993779,10.2184617981616,9.00068077761109,8.17455053670679
Germigny,51390.0,Grand Est,51072,10.7305304064312,10.817291698197,8.35445493756338,9.84933586391743
Germinon,51130.0,Grand Est,51049,9.10806275993779,10.2184617981616,7.24158026089527,7.98905048816851
Giffaumont-Champaubert,51290.0,Grand Est,51008,7.18293185547549,8.81536976324281,6.80816781420186,6.30882100478431
Gigny-Bussy,51290.0,Grand Est,51008,7.18293185547549,8.81536976324281,6.80816781420186,6.30882100478431
Givry-en-Argonne,51330.0,Grand Est,51047,7.3192469211362,9.23467026147072,6.07886327460702,6.80709083195653
Givry-lès-Loisy,51130.0,Grand Est,51049,9.10806275993779,10.2184617981616,7.24158026089527,7.98905048816851
Gizaucourt,51800.0,Grand Est,51015,6.96156085062336,9.23467026147072,6.26205931685786,5.53242643251973
Glannes,51300.0,Grand Est,51039,8.89447927962285,9.66793923238746,6.90883777015173,6.80709083195653
Gourgançon,51230.0,Grand Est,51010,8.69534393191396,10.2948464962792,7.24158026089527,7.18878902199597
Sainte-Marie-du-Lac-Nuisement,51290.0,Grand Est,51008,7.18293185547549,8.81536976324281,6.80816781420186,6.30882100478431
Les Grandes-Loges,51400.0,Grand Est,51031,7.80179135350471,10.2184617981616,8.35445493756338,8.68968689731701
Granges-sur-Aube,51260.0,Grand Est,51004,8.14995185833774,8.95681354635853,8.09729561793141,7.79971657452783
Gratreuil,51800.0,Grand Est,51015,6.96156085062336,9.23467026147072,6.26205931685786,5.53242643251973
Grauves,51190.0,Grand Est,51029,8.92851394687571,10.5094325642697,7.24158026089527,8.17455053670679
Gueux,51390.0,Grand Est,51072,10.7305304064312,10.817291698197,8.35445493756338,9.84933586391743
Hans,51800.0,Grand Est,51015,6.96156085062336,9.23467026147072,6.26205931685786,5.53242643251973
Haussignémont,51300.0,Grand Est,51039,8.89447927962285,9.66793923238746,6.90883777015173,6.80709083195653
Haussimont,51320.0,Grand Est,51084,7.21843229135397,8.58988308334711,6.90883777015173,6.17055004482242
Hauteville,51290.0,Grand Est,51008,7.18293185547549,8.81536976324281,6.80816781420186,6.30882100478431
Hautvillers,51160.0,Grand Est,51028,9.10806275993779,10.2184617981616,9.00068077761109,8.17455053670679
Heiltz-le-Hutier,51300.0,Grand Est,51039,8.89447927962285,9.66793923238746,6.90883777015173,6.80709083195653
Heiltz-le-Maurupt,51340.0,Grand Est,51060,7.48884508400894,8.81536976324281,6.65283779592374,6.80709083195653
Heiltz-l'Évêque,51340.0,Grand Est,51060,7.48884508400894,8.81536976324281,6.65283779592374,6.80709083195653
Hermonville,51220.0,Grand Est,51051,10.2666418416739,12.5379046885608,9.49201734586607,9.14604585864686
Herpont,51460.0,Grand Est,51193,9.24020465425484,9.35537423038193,6.99391843007736,7.94483983739533
Heutrégiville,51110.0,Grand Est,51025,10.0941179084917,12.5379046885608,8.07217269885239,9.14604585864686
Hourges,51140.0,Grand Est,51077,10.2666418416739,12.5379046885608,8.07217269885239,8.08479226311576
Huiron,51300.0,Grand Est,51039,8.89447927962285,9.66793923238746,6.90883777015173,6.80709083195653
Humbauville,51320.0,Grand Est,51084,7.21843229135397,8.58988308334711,6.90883777015173,6.17055004482242
Igny-Comblizy,51700.0,Grand Est,51012,8.85475907336912,10.817291698197,7.4580921810376,8.02360243402776
Isles-sur-Suippe,51110.0,Grand Est,51025,10.0941179084917,12.5379046885608,8.07217269885239,9.14604585864686
Isle-sur-Marne,51290.0,Grand Est,51008,7.18293185547549,8.81536976324281,6.80816781420186,6.30882100478431
Isse,51150.0,Grand Est,51003,9.39522229491055,10.2184617981616,9.00068077761109,8.68968689731701
Les Istres-et-Bury,51190.0,Grand Est,51029,8.92851394687571,10.5094325642697,7.24158026089527,8.17455053670679
Jâlons,51150.0,Grand Est,51003,9.39522229491055,10.2184617981616,9.00068077761109,8.68968689731701
Janvilliers,51210.0,Grand Est,51050,10.5103594275762,9.85398427865536,6.81085162371939,8.19430659778241
Janvry,51390.0,Grand Est,51072,10.7305304064312,10.817291698197,8.35445493756338,9.84933586391743
Joiselle,51310.0,Grand Est,51071,10.7580993768278,13.3758570583311,8.09729561793141,7.18878902199597
Jonchery-sur-Suippe,51600.0,Grand Est,51019,7.80179135350471,10.2184617981616,8.35445493756338,6.86447018868606
